,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,diff,coverted_usd
264,CA02,CCU001,KRAFT  corporation,,2020.0,2960622220.0,2020-03-20,2020-04-27,2020-03-23,NAG2,not equal,17828.068999999996
265,U001,0200769623,WAL-MAR llc,,2020.0,1930804924.0,2020-04-21,2020-05-06,2020-04-21,NAH4,not equal,24856.964999999997
268,U001,0200769623,WAL-MAR associates,,2020.0,1930746955.0,2020-04-05,2020-04-20,2020-04-05,NAH4,not equal,9458.827
272,U001,0200772670,ASSOCIAT corp,,2020.0,1930698156.0,2020-03-24,2020-04-08,2020-03-24,NAU5,not equal,17094.931
275,U001,0200769623,WAL-MAR co,,2020.0,1930801200.0,2020-04-19,2020-05-04,2020-04-19,NAH4,not equal,7852.130999999999
277,U001,0200769623,WAL-MAR systems,,2020.0,1930776682.0,2020-04-13,2020-04-28,2020-04-13,NAH4,not equal,8787.891
288,U001,0200720238,WOODM co,,2020.0,1930858727.0,2020-05-06,2020-05-21,2020-05-06,NAA8,not equal,88843.321
295,CA02,140106408,WAL-M in,,2020.0,2960631200.0,2020-04-25,2020-05-05,2020-04-25,CA10,equal,28537.684
301,U001,0200769623,WAL-MAR co,,2020.0,1930729999.0,2020-04-01,2020-04-16,2020-04-01,NAH4,equal,17384.43
311,U001,0200769623,WAL-MAR us,,2020.0,1930653060.0,2020-03-15,2020-03-30,2020-03-15,NAH4,not equal,35141.981
312,U001,0200769623,WAL-MAR us,,2020.0,1930715979.0,2020-04-01,2020-04-16,2020-04-01,NAH4,not equal,5809.79
314,U001,0200799367,MCL corporation,,2020.0,1930673430.0,2020-03-24,2020-04-08,2020-03-24,NAA8,not equal,36121.490999999995
319,U001,0200759878,SA co,,2020.0,1930783249.0,2020-04-14,2020-04-29,2020-04-14,NAH4,equal,13230.693000000001
323,U001,0200794332,COST corp,,2020.0,1930638145.0,2020-03-14,2020-03-29,2020-03-14,NAAX,not equal,34627.38999999999
324,U001,0200515231,US  us,,2020.0,1930768145.0,2020-04-09,2020-04-24,2020-04-09,NAA8,equal,7131.361999999999
330,U001,0200782669,SYGMA corp,,2020.0,1930636977.0,2020-03-13,2020-03-28,2020-03-13,NAA8,not equal,166.18
333,U001,200769623,WAL-MAR foundation,,2020.0,1930882979.0,2020-05-12,2020-05-27,2020-05-12,NAH4,not equal,8072.987999999999
340,U001,0200769623,WAL-MAR ,,2020.0,1930692833.0,2020-03-24,2020-04-08,2020-03-24,NAH4,equal,14012.543999999998
362,U001,0200331749,SYSC foundation,,2020.0,1930579080.0,2020-02-28,2020-03-14,2020-02-28,NAA8,not equal,3724.595
363,U001,0200772670,ASSOCIAT associates,,2020.0,1930819529.0,2020-04-23,2020-05-08,2020-04-23,NAU5,equal,21630.581
383,U001,0200772670,ASSOCIAT us,,2020.0,1930736164.0,2020-04-02,2020-04-17,2020-04-02,NAU5,equal,46090.28199999999
396,U001,0200706844,WINC foundation,,2020.0,1930599854.0,2020-03-04,2020-03-19,2020-03-04,NAA8,equal,251.60799999999998
399,U001,0100043975,JAVA ,,2020.0,1930740345.0,2020-04-03,2020-04-18,2020-04-03,NAA8,equal,999.1519999999998
402,U001,0200762301,C&S WH in,,2020.0,1930592552.0,2020-03-04,2020-03-19,2020-03-04,NAC6,not equal,69364.197
403,U001,0200148860,DOLLA associates,,2020.0,1930732920.0,2020-04-03,2020-06-07,2020-04-03,NAGD,not equal,4580.407999999999
411,CA02,0100027744,OMEGA AD in,,2020.0,2960635652.0,2020-05-19,2020-05-19,2020-05-19,CAB1,equal,4924.5
419,U001,0100031704,DELHAIZE co,,2020.0,1930585468.0,2020-03-01,2020-03-16,2020-03-01,NAA8,equal,74475.92599999999
423,U001,0200799420,HT HA foundation,,2020.0,1930703225.0,2020-03-25,2020-04-09,2020-03-25,NAA8,equal,560.77
428,U001,0200974851,RESTA systems,,2020.0,1930706997.0,2020-03-26,2020-04-10,2020-03-26,NAA8,equal,2496.683
433,U001,0200769623,WAL-MAR in,,2020.0,1930830709.0,2020-04-28,2020-05-13,2020-04-28,NAH4,not equal,6219.898999999999
440,U001,0200793568,SUPE llc,,2020.0,1930630388.0,2020-03-10,2020-03-25,2020-03-10,NAA8,equal,11125.288999999999
442,U001,0200759878,SA foundation,,2020.0,1930609945.0,2020-03-06,2020-03-21,2020-03-06,NAH4,not equal,49126.56
445,U001,0200712187,SPAR in,,2020.0,1930806222.0,2020-04-20,2020-05-05,2020-04-20,NAA8,not equal,83569.052
446,U001,0100047532,KEYSTON associates,,2020.0,1930592834.0,2020-03-04,2020-03-19,2020-03-04,NAA8,not equal,8296.778
447,U001,0200794332,COST co,,2020.0,1930562584.0,2020-02-28,2020-03-19,2020-02-28,NA84,not equal,7857.794
454,U001,0200148860,DOLLA associates,,2020.0,1930699340.0,2020-03-25,2020-05-29,2020-03-25,NAGD,equal,3819.725
458,U001,200794332,COST llc,,2020.0,1930862420.0,2020-05-08,2020-05-23,2020-05-08,NAAX,not equal,57050.602
468,U001,0200555117,BURR trust,,2020.0,1930709963.0,2020-03-27,2020-04-11,2020-03-27,NAA8,equal,524.3979999999999
470,U001,200769623,WAL-MAR in,,2020.0,1930878284.0,2020-05-09,2020-05-24,2020-05-09,NAH4,not equal,1553.9229999999998
471,U001,0200772670,ASSOCIAT corp,,2020.0,1930683241.0,2020-03-21,2020-04-05,2020-03-21,NAU5,equal,10842.846
473,U001,200707822,PUBLI corporation,,2020.0,1930857983.0,2020-05-04,2020-05-19,2020-05-04,NAA8,not equal,88275.537
482,CA02,0140104392,FLANAG us,,2020.0,2960619205.0,2020-03-06,2020-03-20,2020-03-10,CA10,not equal,2528.673
486,U001,0200769623,WAL-MAR corp,,2020.0,1930831780.0,2020-04-28,2020-05-13,2020-04-28,NAH4,equal,8081.765999999999
493,U001,0200759878,SA systems,,2020.0,1930717567.0,2020-03-31,2020-04-15,2020-03-31,NAH4,not equal,33352.598999999995
498,U001,0200705742,DOT foundation,,2020.0,1930581678.0,2020-02-28,2020-03-14,2020-02-28,NAA8,equal,4152.757
502,U001,200793568,SUPE trust,,2020.0,1930690537.0,2020-03-23,2020-04-07,2020-03-23,NAA8,not equal,1145.032
511,U001,0200726979,BJ'S  ,,2020.0,1930646128.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,900.4099999999999
516,U001,0200704858,WAKE corp,,2020.0,1930762384.0,2020-04-09,2020-04-24,2020-04-09,NAA8,not equal,69697.894
519,U001,0200780383,MEIJ in,,2020.0,1930665025.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,2528.841
520,U001,0200762301,C&S WH associates,,2020.0,1930778021.0,2020-04-12,2020-04-27,2020-04-12,NAC6,not equal,71593.22799999999
522,CA02,0140106271,LONGO  in,,2020.0,2960626604.0,2020-04-03,2020-04-17,2020-04-07,CA10,not equal,8615.453
529,CA02,0140104423,METRO  us,,2020.0,2960628851.0,2020-04-17,2020-05-01,2020-04-21,CA10,not equal,45059.545999999995
531,U001,0200741174,M B  co,,2020.0,1930657267.0,2020-03-16,2020-03-31,2020-03-16,NAA8,equal,4037.4809999999998
535,CA02,0100030194,AMAZO llc,,2020.0,2960622411.0,2020-03-18,2020-03-30,2020-03-20,CA10,not equal,9851.667
545,U001,0200769623,WAL-MAR trust,,2020.0,1930720012.0,2020-03-30,2020-04-14,2020-03-30,NAH4,equal,29665.880999999998
559,U001,0200592182,DECA in,,2020.0,1930822583.0,2020-04-24,2020-05-09,2020-04-16,NAM4,not equal,1233.2879999999998
571,U001,0200743996,STATER  co,,2020.0,1930686889.0,2020-03-22,2020-04-06,2020-03-22,NAA8,not equal,66228.421
583,U001,0200769623,WAL-MAR in,,2020.0,1930787980.0,2020-04-15,2020-04-30,2020-04-15,NAH4,equal,15558.444999999998
587,U001,0200749782,KROG associates,,2020.0,1930822131.0,2020-04-25,2020-05-10,2020-04-25,NAA8,not equal,61951.40699999999
596,U001,0200744019,TARG corp,,2020.0,1930641073.0,2020-03-13,2020-05-17,2020-03-13,NAGD,not equal,1387.4419999999998
600,U001,0200769623,WAL-MAR foundation,,2020.0,1930804577.0,2020-04-21,2020-05-06,2020-04-21,NAH4,equal,1628.2559999999999
601,U001,0200705742,DOT us,,2020.0,1930592413.0,2020-03-02,2020-03-17,2020-03-02,NAA8,equal,6875.665999999999
617,U001,0200744019,TARG trust,,2020.0,1930857489.0,2020-05-05,2020-05-20,2020-05-05,NAA8,equal,20714.693999999996
619,U001,0200772670,ASSOCIAT associates,,2020.0,1930739252.0,2020-04-03,2020-04-18,2020-04-03,NAU5,equal,33532.632
620,U001,0200769623,WAL-MAR corporation,,2020.0,1930692953.0,2020-03-24,2020-04-08,2020-03-24,NAH4,equal,1329.23
625,U001,0200900909,SYSCO in,,2020.0,1930741081.0,2020-04-03,2020-04-18,2020-04-03,NAA8,equal,5266.919
627,U001,0200424504,M  in,,2020.0,1930830032.0,2020-04-28,2020-04-15,2020-04-15,NACG,not equal,1699.628
629,U001,0100031704,DELHAIZE trust,,2020.0,1930794735.0,2020-04-16,2020-06-20,2020-04-16,NAGD,equal,823.6129999999999
633,U001,0200764795,SYSCO  us,,2020.0,1930637455.0,2020-03-18,2020-04-19,2020-03-18,NA32,not equal,7684.956999999999
644,U001,0200337148,COAS systems,,2020.0,1930587342.0,2020-03-02,2020-03-17,2020-03-02,NAA8,equal,31589.452999999998
645,U001,0200416837,DEC llc,,2020.0,1930599382.0,2020-03-04,2020-03-24,2020-03-01,NAM4,not equal,278.712
649,U001,0200769623,WAL-MAR llc,,2020.0,1930623646.0,2020-03-09,2020-03-24,2020-03-09,NAH4,equal,41108.346999999994
650,U001,0200726979,BJ'S  associates,,2020.0,1930645815.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,411.943
658,U001,0200721222,GO us,,2020.0,1930800642.0,2020-04-20,2020-05-05,2020-04-20,NAA8,not equal,17979.549
662,U001,0200772595,SAFEW corporation,,2020.0,1930729101.0,2020-04-02,2020-04-17,2020-04-02,NAA8,not equal,7014.097999999999
665,U001,0200820380,SMITH'S trust,,2020.0,1930716191.0,2020-03-30,2020-04-14,2020-03-30,NAA8,not equal,33616.079
668,U001,0200793568,SUPE corporation,,2020.0,1930779652.0,2020-04-14,2020-04-29,2020-04-14,NAA8,not equal,25636.121
669,U001,0200706844,WINC corp,,2020.0,1930732708.0,2020-04-01,2020-04-16,2020-04-01,NAA8,not equal,15851.170999999998
672,U001,0100043975,JAVA co,,2020.0,1930586661.0,2020-03-02,2020-03-17,2020-03-02,NAA8,equal,5048.4
673,U001,0200769623,WAL-MAR llc,,2020.0,1930692548.0,2020-03-25,2020-04-09,2020-03-25,NAH4,not equal,11058.061
675,U001,0200762301,C&S WH in,,2020.0,1930630515.0,2020-03-11,2020-03-26,2020-03-11,NAC6,not equal,1412.915
681,U001,0200769623,WAL-MAR foundation,,2020.0,1930593446.0,2020-03-04,2020-03-19,2020-03-04,NAH4,not equal,10294.885999999999
682,U001,0200729290,KROGER ,,2020.0,1930599215.0,2020-03-04,2020-03-19,2020-03-04,NAA8,equal,80845.898
685,U001,0200769623,WAL-MAR us,,2020.0,1930827122.0,2020-04-27,2020-05-12,2020-04-27,NAH4,not equal,1329.23
687,U001,0200769623,WAL-MAR us,,2020.0,1930750644.0,2020-04-06,2020-04-21,2020-04-06,NAH4,not equal,26379.052
688,U001,0200705372,FR corporation,,2020.0,1930637990.0,2020-03-13,2020-03-28,2020-03-13,NAA8,not equal,13972.734999999999
698,U001,0200769623,WAL-MAR llc,,2020.0,1930675431.0,2020-03-22,2020-04-06,2020-03-22,NAH4,not equal,8278.262999999999
701,U001,0200742791,QUI in,,2020.0,1930603823.0,2020-03-10,2020-03-25,2020-03-10,NAA8,not equal,17390.435999999998
703,U001,0200743996,STATER  corporation,,2020.0,1930718352.0,2020-03-30,2020-04-14,2020-03-30,NAA8,not equal,22556.835
704,U001,0200769623,WAL-MAR us,,2020.0,1930752522.0,2020-04-06,2020-04-21,2020-04-06,NAH4,equal,6955.941999999999
714,U001,0200759878,SA corporation,,2020.0,1930752430.0,2020-04-08,2020-04-23,2020-04-08,NAH4,not equal,8692.229
722,U001,0200762301,C&S WH us,,2020.0,1930584581.0,2020-03-02,2020-03-17,2020-03-02,NAC6,not equal,3011.0989999999997
723,U001,200769623,WAL-MAR ,,2020.0,1930885637.0,2020-05-12,2020-05-27,2020-05-12,NAH4,not equal,15784.881
728,U001,0100043936,PAPA JO foundation,,2020.0,1930627707.0,2020-03-10,2020-03-20,2020-03-10,NA10,not equal,12701.632999999998
731,U001,0200744019,TARG co,,2020.0,1930748869.0,2020-04-05,2020-04-20,2020-04-05,NAA8,not equal,68443.2
739,U001,0200794332,COST ,,2020.0,1930720706.0,2020-04-02,2020-04-17,2020-04-02,NAAX,not equal,22119.426
745,U001,0200740393,LABAT ,,2020.0,1930585380.0,2020-03-03,2020-03-18,2020-03-03,NAA8,not equal,36851.793999999994
747,U001,0200769623,WAL-MAR systems,,2020.0,1930671465.0,2020-03-20,2020-04-04,2020-03-20,NAH4,not equal,14779.743999999997
753,U001,0200762301,C&S WH co,,2020.0,1930577119.0,2020-02-27,2020-03-13,2020-02-27,NAC6,equal,96438.02
758,U001,0200759878,SA in,,2020.0,1930748365.0,2020-04-05,2020-04-20,2020-04-05,NAH4,not equal,9484.062
759,U001,0200759878,SA corporation,,2020.0,1930825574.0,2020-04-27,2020-05-12,2020-04-27,NAH4,not equal,25128.936
762,U001,0200704858,WAKE llc,,2020.0,1930655118.0,2020-03-16,2020-03-31,2020-03-16,NAA8,equal,76474.041
777,U001,0200762301,C&S WH foundation,,2020.0,1930654407.0,2020-03-16,2020-03-31,2020-03-16,NAC6,not equal,5225.57
806,U001,0200803720,DEC corporation,,2020.0,1930872721.0,2020-05-07,2020-05-11,2020-05-01,NAM2,not equal,3310.426
807,U001,0200078795,H T H llc,,2020.0,1930861108.0,2020-05-05,2020-05-20,2020-05-05,NAA8,equal,988.5819999999999
812,U001,0200519201,KROGE llc,,2020.0,1930709582.0,2020-03-28,2020-04-12,2020-03-28,NAA8,not equal,10834.053999999998
821,U001,0200744019,TARG corp,,2020.0,1930753198.0,2020-04-07,2020-04-22,2020-04-07,NAA8,not equal,13436.892
829,U001,0200786288,FAMILY in,,2020.0,1930759958.0,2020-04-08,2020-04-23,2020-04-08,NAC6,not equal,46361.335999999996
830,U001,0200418007,AM systems,,2020.0,1930732102.0,2020-04-02,2020-04-17,2020-04-02,NAA8,equal,33175.135
832,U001,0200466603,SMITH'S systems,,2020.0,1930664246.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,99912.45599999999
841,CA02,0140106408,WAL-M associates,,2020.0,2960622798.0,2020-03-23,2020-04-02,2020-03-23,CA10,equal,5791.484999999999
842,U001,0200762301,C&S WH in,,2020.0,1930721389.0,2020-04-01,2020-06-05,2020-04-01,NAGD,not equal,5560.191
845,U001,0200761734,H E BUT associates,,2020.0,1930632938.0,2020-03-10,2020-03-25,2020-03-10,NAA8,equal,64229.585
851,U001,0200769623,WAL-MAR foundation,,2020.0,1930611981.0,2020-03-08,2020-03-23,2020-03-08,NAH4,not equal,16997.694
854,U001,0200769623,WAL-MAR llc,,2020.0,1930793187.0,2020-04-18,2020-05-03,2020-04-18,NAH4,not equal,7632.5199999999995
866,U001,200769623,WAL-MAR us,,2020.0,1930692727.0,2020-03-24,2020-04-08,2020-03-24,NAH4,equal,36061.388999999996
867,U001,0200744019,TARG us,,2020.0,1930813045.0,2020-04-21,2020-05-06,2020-04-21,NAA8,not equal,4121.047
869,U001,0200726979,BJ'S  systems,,2020.0,1930643416.0,2020-03-12,2020-03-27,2020-03-12,NAA8,equal,9904.314
872,U001,0200706844,WINC co,,2020.0,1930760026.0,2020-03-31,2020-04-15,2020-03-31,NAA8,not equal,27233.85
889,U001,0200418007,AM us,,2020.0,1930650673.0,2020-03-14,2020-05-18,2020-03-14,NAGD,equal,707.8679999999999
894,U001,0200799367,MCL in,,2020.0,1930720975.0,2020-03-31,2020-04-15,2020-03-31,NAA8,not equal,87223.80799999999
898,U001,0200772595,SAFEW corporation,,2020.0,1930705040.0,2020-03-25,2020-04-09,2020-03-25,NAA8,not equal,22427.538
899,U001,0200759878,SA llc,,2020.0,1930700242.0,2020-03-27,2020-04-11,2020-03-27,NAH4,not equal,35038.373999999996
900,U001,CCU013,KRAFT F in,,2020.0,1930570370.0,2020-02-28,2020-02-28,2020-02-28,NAX2,not equal,26046.748
904,U001,0200726979,BJ'S  in,,2020.0,1930629390.0,2020-03-09,2020-03-24,2020-03-09,NAA8,not equal,327.404
905,U001,0200526831,PERISH associates,,2020.0,1930666168.0,2020-03-19,2020-04-03,2020-03-19,NAA8,not equal,93866.563
911,U001,0200769623,WAL-MAR llc,,2020.0,1930845835.0,2020-05-02,2020-05-17,2020-05-02,NAH4,not equal,205.058
916,U001,0100031704,DELHAIZE corp,,2020.0,1930844129.0,2020-04-30,2020-05-15,2020-04-30,NAA8,equal,64590.183
918,U001,0200769623,WAL-MAR in,,2020.0,1930662779.0,2020-03-18,2020-04-02,2020-03-18,NAH4,not equal,24516.429
924,U001,0200020431,DEC systems,,2020.0,1930599834.0,2020-03-04,2020-03-24,2020-03-01,NAM4,not equal,3186.1059999999998
933,U001,0200726979,BJ'S  ,,2020.0,1930730591.0,2020-04-01,2020-04-16,2020-04-01,NAA8,equal,183.28799999999998
944,U001,0200769623,WAL-MAR foundation,,2020.0,1930652678.0,2020-03-15,2020-03-30,2020-03-15,NAH4,not equal,23686.362
952,U001,0200729942,SA ,,2020.0,1930798198.0,2020-04-17,2020-05-02,2020-04-17,NAA8,equal,8187.571
956,U001,0200705742,DOT systems,,2020.0,1930810367.0,2020-04-23,2020-05-08,2020-04-23,NAA8,not equal,5680.527999999999
957,U001,0200777735,NASH  co,,2020.0,1930670844.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,106447.453
973,U001,0200020431,DEC us,,2020.0,1930617742.0,2020-03-07,2020-03-24,2020-03-01,NAM4,not equal,2182.488
980,U001,0200769623,WAL-MAR corp,,2020.0,1930748572.0,2020-04-06,2020-04-21,2020-04-06,NAH4,not equal,1328.74
985,U001,0200759878,SA systems,,2020.0,1930655535.0,2020-03-16,2020-03-31,2020-03-16,NAH4,equal,11942.118999999999
990,U001,0100004536,BAS ,,2020.0,1930765834.0,2020-04-14,2020-04-29,2020-04-14,NAA8,not equal,2621.843
991,U001,0200769623,WAL-MAR corporation,,2020.0,1930882579.0,2020-05-11,2020-05-26,2020-05-11,NAH4,not equal,6414.338
996,CA02,0140104409,LOB in,,2020.0,2960624271.0,2020-03-26,2020-04-07,2020-03-28,CA10,not equal,166894.25199999998
999,U001,0200744019,TARG co,,2020.0,1930652649.0,2020-03-16,2020-03-31,2020-03-16,NAA8,not equal,828.415
1011,U001,0200769623,WAL-MAR systems,,2020.0,1930803693.0,2020-04-23,2020-05-08,2020-04-23,NAH4,not equal,37701.979
1034,CA02,0140104423,METRO  corp,,2020.0,2960624752.0,2020-04-01,2020-04-11,2020-04-01,CA10,equal,32025.363999999994
1039,U001,0200707822,PUBLI foundation,,2020.0,1930801025.0,2020-04-18,2020-05-03,2020-04-18,NAA8,equal,42976.164
1046,U001,0200782669,SYGMA systems,,2020.0,1930617473.0,2020-03-09,2020-03-24,2020-03-09,NAA8,not equal,16309.006
1056,U001,0200705742,DOT corporation,,2020.0,1930660872.0,2020-03-17,2020-04-20,2020-03-17,NAAW,equal,2829.3929999999996
1058,U001,0200769623,WAL-MAR corp,,2020.0,1930676006.0,2020-03-21,2020-04-05,2020-03-21,NAH4,not equal,10266.396
1062,U001,0200780383,MEIJ foundation,,2020.0,1930860645.0,2020-05-06,2020-05-21,2020-05-06,NAA8,not equal,75999.091
1063,U001,0100031704,DELHAIZE trust,,2020.0,1930796146.0,2020-04-17,2020-06-21,2020-04-17,NAGD,not equal,11337.661999999998
1064,U001,0200561861,CO llc,,2020.0,1930774237.0,2020-04-10,2020-04-25,2020-04-10,NAA8,equal,16413.774999999998
1071,U001,0200761734,H E BUT systems,,2020.0,1930701257.0,2020-03-26,2020-04-10,2020-03-26,NAA8,not equal,58167.045999999995
1073,U001,0200769623,WAL-MAR co,,2020.0,1930724889.0,2020-04-01,2020-04-16,2020-04-01,NAH4,not equal,4061.169
1074,U001,0200769623,WAL-MAR us,,2020.0,1930677295.0,2020-03-22,2020-04-06,2020-03-22,NAH4,not equal,8060.9619999999995
1080,U001,0200900909,SYSCO in,,2020.0,1930623159.0,2020-03-09,2020-03-24,2020-03-09,NAA8,not equal,29852.907
1081,U001,200726979,BJ'S  corporation,,2020.0,1930665005.0,2020-03-18,2020-04-02,2020-03-18,NAA8,not equal,567.672
1090,U001,0200769623,WAL-MAR systems,,2020.0,1930719358.0,2020-03-30,2020-04-14,2020-03-30,NAH4,equal,17152.981999999996
1092,U001,0200353024,DECA corporation,,2020.0,1930875691.0,2020-05-08,2020-05-24,2020-05-01,NAM4,not equal,622.356
1102,U001,0200762950,HAR trust,,2020.0,1930671888.0,2020-03-21,2020-04-05,2020-03-21,NAA8,not equal,121267.66399999999
1112,U001,0200561861,CO us,,2020.0,1930764482.0,2020-04-15,2020-04-30,2020-04-15,NAA8,not equal,21221.634
1113,U001,0200744019,TARG in,,2020.0,1930647824.0,2020-03-13,2020-03-28,2020-03-13,NAA8,equal,12185.858999999999
